😮‍💨新聞,#genre#
UK Sky Sports F1,http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/1563.m3u8
UK Sky Sports Mix,http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/1565.m3u8
UK Sky Sports News,http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/1564.m3u8
UK Sky Sports Racing,http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/1567.m3u8
UK TNT Sports 1,http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/1554.m3u8
UK TNT Sports 2,http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/1555.m3u8
UK TNT Sports 3,http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/1556.m3u8
UK Euro Sport 1,http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/1512.m3u8
UK Euro Sport 2,http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/1511.m3u8

🇭🇰香港,#genre#
TVB 翡翠台 JADE H265 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/2.m3u8
TVB Plus H265 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/4.m3u8
TVB 明珠 Pearl H265 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/5.m3u8
ViuTV H265 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/6.m3u8
TVB 翡翠台 JADE 4K (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/7.m3u8
TVB Plus 4K (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/11.m3u8
TVB 明珠台 Pearl 4K (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/10.m3u8
TVB 翡翠台 JADE (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/12.m3u8
TVB Plus CH082 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/14.m3u8
TVB Plus CH082(低延時) (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/15.m3u8
TVB 明珠台 Pearl CH084 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/16.m3u8
ViuTV Six CH096 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/32.m3u8
ViuTV CH099 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/49.m3u8
鳳凰衛視 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/18.m3u8
鳳凰香港 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/19.m3u8
鳳凰衛視電影台 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/20.m3u8
HOY TV (開電視) (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/21.m3u8
RTHK 31 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/24.m3u8
RTHK 32 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/25.m3u8
RTHK 33 CCTV1 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/26.m3u8
RTHK 34 CGTN記錄 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/27.m3u8
RTHK 35 CGTN (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/28.m3u8
Now 直播台 CH331 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/31.m3u8
Now Viu劇集台 CH102 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/33.m3u8
Now 華劇台 (粵) CH105 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/34.m3u8
Now 華劇台 (國) CH105  (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/35.m3u8
Now Jelli 紫金 CH108 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/36.m3u8
HBO CH115 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/37.m3u8
MOVIE MOVIE CH116 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/38.m3u8
Cinemax CH118 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/39.m3u8
Now星影台 CH138 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/40.m3u8
Now爆谷台 CH133 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/41.m3u8
美亞電影台 (粵) CH201 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/42.m3u8
美亞電影台 (國) CH202 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/43.m3u8
中國電影頻道香港版 CH204 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/44.m3u8
POPC 電影頻道 CH206 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/45.m3u8
KIX CH304 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/46.m3u8
Love Nature 4K CH403 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/69.m3u8
Global Treker CH407 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/70.m3u8
DreamWorks (粵) CH440 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/73.m3u8
DreamWorks (國) CH440 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/74.m3u8
卡通頻道 (粵) CN CH443 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/75.m3u8
卡通頻道 (國) CN CH443 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/76.m3u8
BBC CBeebies (粵) CH447 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/77.m3u8
Da Vinci 達文西頻道 CH460 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/78.m3u8
ROCK Entertainment CH501 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/71.m3u8
ROCK Action CH502 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/72.m3u8
AXN CH503 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/79.m3u8
Animax CH504 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/80.m3u8
tvN CH505 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/81.m3u8
Fashion Box CH603 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/84.m3u8
Mezzo Live CH604 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/85.m3u8
鳳凰中文台 CH610 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/87.m3u8
鳳凰香港台 CH612 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/86.m3u8
TVB SUPER-FREE (粵) CH01 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/47.m3u8
TVB SUPER-FREE (國) CH001 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/50.m3u8
TVB 黃金翡翠台 CH080 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/52.m3u8
TVB 千禧經典台 CH086 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/53.m3u8
TVB 亞洲劇台 (原聲) CH087  (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/54.m3u8
TVB 亞洲劇台 (粵) CH087 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/55.m3u8
TVB 華語劇台 (粵) CH089 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/56.m3u8
TVB 華語劇台 (國) CH089 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/57.m3u8
TVB 黃金華劇台 (粵) CH090 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/58.m3u8
TVB 黃金華劇台 (國) CH090 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/59.m3u8
TVB 娛樂新聞台 CH091 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/60.m3u8
TVB 戲曲台 CH098 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/61.m3u8
SUPER Kids Channel CH100 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/62.m3u8
ZooMoo CH101 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/63.m3u8
尼克兒童 Nickelodeon CH104 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/64.m3u8
TVB 粵語片台 CH200 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/65.m3u8
Thrill CH202 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/66.m3u8
天映經典 (粵) CCM CH203 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/67.m3u8
天映經典 (國) CCM CH203 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/68.m3u8
天映頻道 (粵) CM (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/124.m3u8
天映頻道 (國) CM (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/125.m3u8
TVB 功夫台 (粵) (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/118.m3u8
TVB 功夫台 (國) (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/119.m3u8
TVB 星河 (國) (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/121.m3u8
TVB 星河 (粵) (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/120.m3u8
TVB Pearl Drama 明珠劇集台 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/117.m3u8
TVB 生活台 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/126.m3u8
SUPER 獎門人 CH02 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/127.m3u8
SUPER EYT CH03 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/128.m3u8
SUPER 識食 CH04 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/129.m3u8
SUPER 識歎 CH05 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/130.m3u8
SUPER Music CH06 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/131.m3u8
SUPER 金曲 CH07 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/132.m3u8
SUPER 煲劇 CH08 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/133.m3u8
SUPER 劇場 CH09 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/134.m3u8
SUPER 話當年 CH10 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/135.m3u8
星空衛視 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/145.m3u8
香港C＋頻道 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/147.m3u8
Channel V 音樂台 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/143.m3u8
澳視澳門台 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/150.m3u8
澳視衛星台 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/151.m3u8
澳門蓮花衛視 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/148.m3u8
澳門體育台 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/152.m3u8
Now Sports Plus CH680 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/114.m3u8
Now Golf 2 CH683 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/115.m3u8
Now Golf 3 CH684 (HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/116.m3u8
SUPER Sports CH11(HK),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/48.m3u8

🇹🇼台湾,#genre#
民视 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/156.m3u8
中视 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/159.m3u8
华视 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/158.m3u8
台视 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/157.m3u8
公视 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/160.m3u8
中天综合台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/175.m3u8
中天娱乐台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/176.m3u8
中天亚洲台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/177.m3u8
东森综合台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/178.m3u8
东森电影台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/179.m3u8
东森戏剧台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/180.m3u8
东森洋片台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/181.m3u8
TVBS 综合 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/182.m3u8
TVBS 欢乐台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/183.m3u8
TVBS 精采台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/184.m3u8
TVBS 台剧台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/186.m3u8
TVBS 综艺台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/185.m3u8
三立综合台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/187.m3u8
三立台湾台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/188.m3u8
三立戏剧台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/190.m3u8
三立都会台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/189.m3u8
中视经典台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/196.m3u8
中视菁采台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/197.m3u8
民视台湾台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/192.m3u8
民视影剧台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/194.m3u8
民视旅游台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/195.m3u8
民视第一台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/191.m3u8
民视综艺台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/193.m3u8
台视综合台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/198.m3u8
公视3 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/200.m3u8
公视台语台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/199.m3u8
公视戏剧 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/201.m3u8
HBO (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/202.m3u8
HBO Family (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/204.m3u8
HBO Hits (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/205.m3u8
HBO Signature (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/203.m3u8
HBO LOGO (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/206.m3u8
CINEMAX (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/207.m3u8
美亚电影台湾台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/208.m3u8
好莱坞电影台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/210.m3u8
壹电影 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/222.m3u8
龙祥时代电影 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/209.m3u8
私人影院 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/225.m3u8
影迷数位纪实台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/214.m3u8
影迷数字电影台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/218.m3u8
我的欧洲电影 My Cinema Europe (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/220.m3u8
华纳电影台 WarnerTV (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/221.m3u8
AMC最爱电影 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/219.m3u8
AXN (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/211.m3u8
CATCHPLAY 电影台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/216.m3u8
CI 罪案侦查频道 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/213.m3u8
Cinema World (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/215.m3u8
CNEX 视纳华仁纪实频道 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/217.m3u8
HITS频道 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/212.m3u8
Lifetime娱乐频道 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/223.m3u8
tvN (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/224.m3u8
纬来综合台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/229.m3u8
纬来戏剧台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/230.m3u8
纬来日本台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/227.m3u8
纬来电影台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/231.m3u8
纬来精彩台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/232.m3u8
纬来育乐台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/228.m3u8
龙华偶像台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/236.m3u8
龙华卡通台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/239.m3u8
龙华戏剧台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/235.m3u8
龙华日韩台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/234.m3u8
龙华洋片台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/238.m3u8
龙华电影台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/233.m3u8
龙华经典台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/237.m3u8
八大综合台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/241.m3u8
八大娱乐台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/245.m3u8
八大戏剧台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/242.m3u8
八大第一台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/244.m3u8
八大精彩台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/240.m3u8
八大综艺台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/243.m3u8
ELTA 爱尔达娱乐台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/252.m3u8
ELTA 爱尔达影剧台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/248.m3u8
ELTA 爱尔达日韩台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/250.m3u8
ELTA 爱尔达生活旅游台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/251.m3u8
ELTA 爱尔达综合台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/249.m3u8
靖天综合台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/279.m3u8
靖天卡通台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/277.m3u8
靖天戏剧台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/275.m3u8
靖天日本台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/280.m3u8
靖天映画台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/281.m3u8
靖天欢乐台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/284.m3u8
靖天电影台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/282.m3u8
靖天育乐台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/283.m3u8
靖天资讯台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/285.m3u8
靖洋戏剧台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/276.m3u8
靖洋卡通Nice Bingo,http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/278.m3u8
KLT-靖天国际 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/286.m3u8
探索频道 Discovery Channel  (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/287.m3u8
探索亚洲 Discovery Asia (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/288.m3u8
探索动力 Discovery DMAX (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/290.m3u8
探索科学 Discovery Science (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/289.m3u8
历史频道 2HISTORY 2 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/293.m3u8
历史频道 History (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/292.m3u8
国家地理 National Geographic (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/294.m3u8
动物星球 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/295.m3u8
亚洲美食频道 Asian Food Network (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/300.m3u8
Discovery EVE (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/291.m3u8
Smart 知识台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/331.m3u8
TLC 旅游台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/298.m3u8
Love Nature (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/296.m3u8
BBC Earth (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/304.m3u8
BBC Lifestyle (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/305.m3u8
Asia 亚洲旅游台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/297.m3u8
Travel Channel 旅游台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/299.m3u8
居家乐活频道 HGTV (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/303.m3u8
美食星球 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/301.m3u8
幸福空间居家台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/347.m3u8
东森幼幼台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/308.m3u8
卡通频道 CN (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/314.m3u8
卡通台 Cartoonito (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/318.m3u8
达文西频道 DaVinCi (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/316.m3u8
梦工厂动画 Dreamworks (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/317.m3u8
尼克儿童频道 Nickelodeon (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/312.m3u8
MOMO 亲子台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/313.m3u8
Animax 卡通 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/310.m3u8
BBC Cbeebies (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/319.m3u8
Baby TV (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/320.m3u8
Boomerang (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/309.m3u8
Nick Jr.儿童频道 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/311.m3u8
爱放动漫台 I-Fun (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/315.m3u8
经典卡通台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/360.m3u8
高点综合台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/324.m3u8
JET 综合台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/322.m3u8
MOMO 综合台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/321.m3u8
ETtoday 综合台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/367.m3u8
EYE 戏剧台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/307.m3u8
EYE 旅游台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/306.m3u8
ROCK Action (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/328.m3u8
ROCK Entertainment (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/327.m3u8
ROCK Extreme (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/329.m3u8
Z频道 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/339.m3u8
东风卫视 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/340.m3u8
彩昌影剧 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/355.m3u8
经典电影台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/359.m3u8
华艺中文台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/345.m3u8
台湾戏剧台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/325.m3u8
无线卫星亚洲台 TVBS Asia (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/332.m3u8
INULTRA (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/363.m3u8
Fashion TV (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/341.m3u8
Fun 探索娱乐台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/356.m3u8
Global Trekker (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/333.m3u8
Channel V 音乐台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/357.m3u8
LUXE TV Channel (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/362.m3u8
Mezzo Live (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/343.m3u8
Moonbug (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/364.m3u8
年代MUCH台 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/358.m3u8
电影原声台 CMusic (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/326.m3u8
音乐频道 MTV Live (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/344.m3u8
MTV Asia (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/330.m3u8
TRACE Urban (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/342.m3u8
猪哥亮歌厅秀 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/354.m3u8
古典乐 CLASSICA (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/348.m3u8
GINX Esports TV (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/334.m3u8
博斯 Pace Sport (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/365.m3u8
时尚运动X (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/346.m3u8
环球旅行家 Globetrotter (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/302.m3u8
生活時尚 TV5MONDE STYLE (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/361.m3u8
金光布袋戏 (TW),http://iptvpro.pw:35451//live/加QQ群1041749599/68686868/352.m3u8
